Anmerkung,Category,Danger,Effect,HP_01,HP_02,HP_03,HP_04,HP_05,HP_06,HP_07,Short,Spell,Type,Unforgivable,overall
 , ,,Summons an object,,,,8,5,2,12,Accio,Accio,Charm,False,27
 , ,,Shoots water from wand.,,,,,,6,1,Aguamenti,Aguamenti,Charm,False,7
 , ,,Opens locked objects,1,,1,,,1,,Alohomora,Alohomora,Charm,False,3
 , ,,Clears the target’s airway.,,,,,,1,,Anapneo,Anapneo,Spell,False,1
 , ,,Reveals invisible ink,,1,,,,,,Aparecium,Aparecium,Spell,False,1
 , ,,Teleportation Spell,,,4,7,6,17,6,Apparate,Apparate,Spell,False,40
 , ,,Murders opponent – Unforgivable,,,,9,3,1,8,Avada,Avada Kedavra,Curse,False,21
 , ,,Launches birds from your wand,,,,1,,,,Avis,Avis,Spell,False,1
 , ,,Damages opponents,,,,,,,1,Cascading,Cascading,Jinx,False,1
 , ,,Detects enemies and emits a scream,,,,,,,2,Caterwauling,Caterwauling,Charm,False,2
 , ,,Detects enemies and emits an alarm,,,,13,6,15,12,Cave,Cave Inimicum,Charm,False,46
 , ,,Explode Flames on target,,,,,,,2,Confringo,Confringo,Curse,False,2
 , ,,Used to confuse opponent,,,1,1,,,1,Confundus,Confundus,Charm,False,3
 , ,,Tortures opponent – Unforgivable,,,,5,,2,4,Crucio,Crucio,Curse,False,11
 , ,,Counters “Prior Incatato”,,,,1,,,,Deletrius,Deletrius,Spell,False,1
 , ,,Enlarges Teeth,,,,1,,,,Densaugeo,Densaugeo,Spell,False,1
 , ,,Wind Damaging Spell,,,,,,,1,Deprimo,Deprimo,Spell,False,1
 , ,,Moves an object downwards,,,,,,,2,Descendo,Descendo,Spell,False,2
 , ,,Splits seams,,,,1,,,3,Diffindo,Diffindo,Spell,False,4
 , ,,Opens passageways,,,3,,,,,Dissendium,Dissendium,Spell,False,3
 , ,,Makes the target blend in to the surroundings,,,,,2,1,7,Disillusionment,Disillusionment,Charm,False,10
 , ,,Makes Objects Hard,,,,,,,1,Duro,Duro,Spell,False,1
 , ,,Enlarges and item,,,,1,,,,Engorgio,Engorgio,Charm,False,1
 , ,,Counters Stupefy,,,,3,,,,Ennervate,Ennervate,Spell,False,3
 , ,,Heals minor injuries,,,,,,2,,Episkey,Episkey,Spell,False,2
 , ,,Builds things,,,,,,,1,Erecto,Erecto,Spell,False,1
 , ,,Creates a Patronus – A Defensive Guardian,,,31,1,,,6,Expecto,Expecto Patronum,Charm,False,38
 , ,,Disarms your opponent,,3,4,3,3,1,8,Expelliarmus,Expelliarmus,Charm,False,22
 , ,,Makes Objects Explode,,,,,,,1,Expulso,Expulso,Spell,False,1
 , ,,Creates bandages,,,1,,,,,Ferula,Ferula,Spell,False,1
